task,model,feature_group,samples,episodes,auroc,auprc,balanced_accuracy,macro_f1,auroc_ci_low,auprc_ci_low,balanced_accuracy_ci_low,macro_f1_ci_low,auroc_ci_high,auprc_ci_high,balanced_accuracy_ci_high,macro_f1_ci_high
fine_vs_free,logistic,joint_only,10674,1150,0.6619948436627019,0.8581661896040937,0.618952114989963,0.5839669695485923,0.6466531477910367,0.8428931551551103,0.6062216385119863,0.5735218477704959,0.6795090742078923,0.8741340606398851,0.6330471824118071,0.5948048065981792
fine_vs_free,logistic,gripper_only,10674,1150,0.9417058084604786,0.9830639702387538,0.9103734835434847,0.8582599769995831,0.9354945173532189,0.9792138733951706,0.9020102888654898,0.849938424950477,0.9472012588303154,0.9860540320261526,0.9184968784350315,0.8658180639218489
fine_vs_free,logistic,joint_gripper,10674,1150,0.9522525531536232,0.9862692468946189,0.9096245111047263,0.8579140335516328,0.9460029014253561,0.981482272787593,0.9007231054250496,0.8494250854328693,0.9577713038861543,0.9895795357090205,0.9195799814971373,0.8665943011084608
fine_vs_free,logistic,joint_gripper_transition,10674,1150,0.9547051927977682,0.9872048521274934,0.9091580826699791,0.8585572397857455,0.948923759946074,0.9826694850720309,0.9003128668491429,0.8498278103978371,0.9596714653886068,0.9902397791966008,0.9186463385477178,0.8666359769526233
fine_vs_free,random_forest,joint_gripper_transition,10674,1150,0.9633057970072536,0.9907364117915225,0.921506090776248,0.8814623961769911,0.9598539160966798,0.9895571051169917,0.9146772474401608,0.8739666188231663,0.9663168953193008,0.9918272480719942,0.9281807267541796,0.8882516435104312
pre_close_vs_free,logistic,joint_only,3688,1050,0.6872577128247411,0.5457644441585856,0.6350288667583172,0.6158459879793846,0.6677318858815169,0.5170310475570576,0.6196726990290699,0.5974546578207959,0.7079755101136576,0.5783962676887148,0.6519724951237582,0.6347570746228334
pre_close_vs_free,logistic,gripper_only,3688,1050,0.6994511945649295,0.6648360235614995,0.6885363777587231,0.6967824190845773,0.6803265951971053,0.6395155698776738,0.6754315518057822,0.6809367140223469,0.7213625345287663,0.6902788210350603,0.7019045631673032,0.7143536741939562
pre_close_vs_free,logistic,joint_gripper,3688,1050,0.7869155128062439,0.7381080067063177,0.712712503389865,0.7161242105095058,0.771557947734392,0.712859207787419,0.697269787955856,0.7009212856671663,0.8020024582567306,0.7604142323589598,0.7277584497155357,0.7311769783162722
pre_close_vs_free,logistic,joint_gripper_transition,3688,1050,0.8000912324373639,0.7472890297652814,0.7212052714165011,0.7215218647175545,0.786182886324331,0.7257896180872565,0.7073333874630423,0.7077818243673879,0.8158454065182613,0.7694144652987266,0.7364393730658839,0.7367834889572049
pre_close_vs_free,random_forest,joint_gripper_transition,3688,1050,0.7990854810316477,0.7485152540033095,0.7259962284322286,0.7344331076492159,0.7839880238635645,0.7246471769240457,0.7094238117652666,0.7169793251046974,0.8136463229306653,0.7715252942943929,0.7410478129972139,0.7497670638620884
