task,model,feature_group,samples,episodes,auroc,auprc,balanced_accuracy,macro_f1,auroc_ci_low,auprc_ci_low,balanced_accuracy_ci_low,macro_f1_ci_low,auroc_ci_high,auprc_ci_high,balanced_accuracy_ci_high,macro_f1_ci_high
fine_vs_free,logistic,joint_only,361,38,0.6198506586122997,0.8225206339321876,0.5661968285930028,0.5448155600268276,0.5341903348715391,0.7594975861449847,0.5092479789067372,0.49574394268974165,0.7092603026770414,0.886888589330698,0.635245367310056,0.60480228858998
fine_vs_free,logistic,gripper_only,361,38,0.9450876751405319,0.9832307176237626,0.9355860390972397,0.8931350922928544,0.9167652115762241,0.9787873276781439,0.9154595439390332,0.84798764027025,0.9629876163955682,0.9885319765493211,0.9499382617630386,0.9186749851085031
fine_vs_free,logistic,joint_gripper,361,38,0.9502475039852336,0.9863939878609636,0.937410856615488,0.896264367816092,0.9289507692776153,0.9799937139805266,0.9110510877054202,0.85633300299504,0.9658747154107417,0.9907956793100401,0.9485284752547307,0.9203046364640622
fine_vs_free,logistic,joint_gripper_transition,361,38,0.9531839919456329,0.9869193455398343,0.9123248594680762,0.8833168457447329,0.9343460090848992,0.9832787061288588,0.8885695425386758,0.8426147085126101,0.9686035708547209,0.9911148545052612,0.9456687242798353,0.9296743931409444
fine_vs_free,random_forest,joint_gripper_transition,361,38,0.9481500125849485,0.9858774023217286,0.9353133652152026,0.8987768914672468,0.9262928421434181,0.9794992944037583,0.9025271192176724,0.8475823218952584,0.964539569994272,0.9904368011947683,0.9552068680623699,0.9239025785488959
pre_close_vs_free,logistic,joint_only,130,34,0.5808607324244854,0.41387197269518383,0.5612135792568832,0.526029526029526,0.49367915175228066,0.33479528982080775,0.5089661095206499,0.4585842561201127,0.7173066903889971,0.5943757639205662,0.6547742631449238,0.6285353797526763
pre_close_vs_free,logistic,gripper_only,130,34,0.6599839615076183,0.6264585462532837,0.6804330392943063,0.6962372089275642,0.5819819350513455,0.5402501292018632,0.6142169540229886,0.5945480565318622,0.7709016384904276,0.7332935989488275,0.7417263430850388,0.7651720282962431
pre_close_vs_free,logistic,joint_gripper,130,34,0.6431435445068163,0.6291624436779342,0.5891472868217054,0.5834401435529352,0.5388422718585762,0.5313009278971861,0.5028606138485171,0.4953875843347968,0.7445810185185184,0.7135265221367346,0.6952059294871794,0.6913981554160126
pre_close_vs_free,logistic,joint_gripper_transition,130,34,0.6888532477947074,0.6387633750563653,0.6065223202352312,0.6001025378108177,0.6017872344363018,0.5158213562326841,0.524275097465887,0.5126424020634779,0.7451195092199098,0.7081008839098031,0.6759775715841893,0.6560076353627009
pre_close_vs_free,random_forest,joint_gripper_transition,130,34,0.6835070836674686,0.6032638597509827,0.6815022721197541,0.6804199056541094,0.5843327659337204,0.5230520986631436,0.5863413365394502,0.5859218381448955,0.778111919549088,0.7153029035971851,0.7405965555527588,0.7457370515114417
