feature,target,spearman,p_value
s5_trans_delta_gripper_endpoint,benefit_5_to_16,-0.2267230470517042,0.03808815006335791
s5_joint_abs_step_d1,benefit_5_to_16,0.2241166346056495,0.04041972854225477
s5_trans_delta_gripper_range,benefit_5_to_16,-0.18482117897014252,0.09236232721356541
s5_trans_delta_gripper_high_fraction,benefit_5_to_16,0.16402509552960948,0.1359858793600412
s5_joint_direction_change,benefit_5_to_16,-0.16379467449630455,0.1365442762389074
s5_trans_delta_gripper_step_max,benefit_5_to_16,-0.15279688328244995,0.16526318095945047
s5_trans_delta_gripper_tv,benefit_5_to_16,-0.1450771447546337,0.1879362520024004
s5_gripper_endpoint,benefit_5_to_16,-0.14080234415554208,0.2014210171274195
s5_trans_delta_gripper_start,benefit_5_to_16,0.11694817701838038,0.28940500448184564
s5_trans_delta_joint_abs_step_d0,benefit_5_to_16,0.11437042449432036,0.3002396037098965
s5_trans_delta_joint_abs_step_d6,benefit_5_to_16,0.11203840342750354,0.31026711639318405
s5_joint_abs_step_d3,benefit_5_to_16,0.11026683338621286,0.31802811532518444
s5_joint_jerk_max,benefit_5_to_16,-0.1101346562721474,0.3186121266996468
s5_trans_gripper_boundary,benefit_5_to_16,0.10672066012758949,0.3339350774368294
s5_joint_roughness,benefit_5_to_16,-0.10371570314872937,0.34780156278790875
s5_joint_abs_step_d5,benefit_5_to_16,-0.10152880429280145,0.35811568835377416
s5_joint_abs_step_d0,benefit_5_to_16,0.09843069758023691,0.3730469045019994
s5_trans_delta_joint_direction_change,benefit_5_to_16,-0.09470033375682199,0.3915191058765979
s5_trans_delta_joint_step_max,benefit_5_to_16,0.08725814478706746,0.4299611929845554
s5_gripper_range,benefit_5_to_16,-0.08709052571441071,0.4308510653361374
s5_trans_delta_joint_accel_max,benefit_5_to_16,0.08022152469849847,0.4682091587708116
s5_trans_delta_joint_abs_step_d4,benefit_5_to_16,0.07934955160394958,0.47307421556107576
s5_trans_delta_joint_abs_step_d2,benefit_5_to_16,0.06760833249362838,0.5411626600937147
s5_gripper_tv,benefit_5_to_16,-0.06739400095372297,0.5424487614955633
s5_joint_path,benefit_5_to_16,0.06443251999595019,0.5603707568175391
s5_joint_step_mean,benefit_5_to_16,0.06443251999595019,0.5603707568175391
s5_gripper_step_max,benefit_5_to_16,-0.06122469454637352,0.580095606172016
s5_trans_delta_joint_roughness,benefit_5_to_16,-0.05750966735210861,0.6033302544537735
s5_trans_delta_joint_abs_step_d1,benefit_5_to_16,0.05463012829569132,0.6216170174594781
s5_trans_delta_joint_jerk_max,benefit_5_to_16,0.05197365212392608,0.6386933990193318
s5_trans_delta_gripper_mean,benefit_5_to_16,0.049985884663836126,0.6515959930542568
s5_joint_jerk_mean,benefit_5_to_16,-0.04582363065708211,0.678943591172781
s5_trans_delta_joint_step_mean,benefit_5_to_16,0.044348957157638064,0.6887354994044315
s5_trans_delta_joint_path,benefit_5_to_16,0.044348957157638064,0.6887354994044315
s5_trans_endpoint_direction_change,benefit_5_to_16,-0.03832625927203289,0.729245122634445
s5_joint_endpoint,benefit_5_to_16,0.036610306773311736,0.7409298751838866
s5_gripper_high_fraction,benefit_5_to_16,-0.030878652562779243,0.7803726278374578
s5_joint_accel_mean,benefit_5_to_16,-0.028551179507947756,0.7965554649095027
s5_joint_abs_step_d6,benefit_5_to_16,-0.02662751847727043,0.8099960602709909
s5_trans_has_previous,benefit_5_to_16,0.02525560333164982,0.8196155733986773
s5_trans_delta_joint_jerk_mean,benefit_5_to_16,0.024313854427072713,0.8262344211081719
s5_joint_abs_step_d4,benefit_5_to_16,-0.0232661739394553,0.8336120310376142
s5_trans_delta_joint_abs_step_d5,benefit_5_to_16,0.022995755563219734,0.8355186413618076
s5_gripper_mean,benefit_5_to_16,-0.01996699173732252,0.8569355856370826
s5_joint_abs_step_d2,benefit_5_to_16,-0.015338820885881704,0.8898577019812124
s5_joint_step_max,benefit_5_to_16,0.014012351928723299,0.8993304443415864
s5_trans_joint_boundary,benefit_5_to_16,0.013079596418233447,0.9060000726846771
s5_joint_accel_max,benefit_5_to_16,-0.010570011136984915,0.9239758092751629
s5_trans_delta_joint_endpoint,benefit_5_to_16,0.00953086870786003,0.9314307062051658
s5_trans_delta_joint_accel_mean,benefit_5_to_16,0.007138012308865385,0.9486186770268825
s5_trans_delta_gripper_end,benefit_5_to_16,-0.003980439838919863,0.9713343180513663
s5_trans_delta_joint_abs_step_d3,benefit_5_to_16,0.003954296591558948,0.9715225134708787
s5_gripper_end,benefit_5_to_16,0.0031032794906560883,0.9776494569071865
s5_gripper_start,benefit_5_to_16,-0.0029658371288410522,0.9786391113178959
