schedule,metric,mean,ci95_low,ci95_high,median,p95
5,joint_norm_mae_h8,0.02108410655689161,0.018291289669849834,0.02505438121677362,0.01909450447754351,0.04372988942851623
5,joint_norm_mae_h24,0.034366684086255726,0.02869295162560904,0.04158748963418067,0.029795337013478574,0.065160872091624
5,gripper_norm_mae_h8,0.10421666210597669,0.07554004082658572,0.1329279668325658,0.07628536224365234,0.29825522247701874
5,latency,2.6990713782724924,2.6974379826814077,2.7012811140794337,2.7143964481074363,2.8220025699120015
8,joint_norm_mae_h8,0.0212129673948184,0.01824430895179747,0.02494574697444634,0.019012783551886982,0.043070388659270833
8,joint_norm_mae_h24,0.033893593050764705,0.028421255106786954,0.040499071416052135,0.027910233334305264,0.06425904725134778
8,gripper_norm_mae_h8,0.09176861628172144,0.06408442436489471,0.12433559552609082,0.05090656131505966,0.29979789219796643
8,latency,3.9185023235105394,3.916499413792432,3.9209841535688614,3.8916301582939923,4.09121433252003
16,joint_norm_mae_h8,0.02174051257434551,0.018596568659165216,0.026029960779086106,0.019572098188851538,0.04814449690746561
16,joint_norm_mae_h24,0.035063131001734284,0.029446354818138367,0.04279231147454832,0.029230342254605916,0.07017932694516264
16,gripper_norm_mae_h8,0.09226342069242882,0.06362168506566376,0.11856641303581586,0.0632504727691412,0.3011040445417164
16,latency,7.195694470157226,7.191665017187349,7.20015543750568,7.180355673190206,7.579908707737923
