episode,chunk_index,anchor,stage,benefit_5_to_16,s5_joint_step_mean,s5_joint_accel_mean,s5_joint_jerk_mean,s5_gripper_step_max
1925,0,23,free_open,-0.003871363270571186,0.02174628302454253,0.011534913568978069,0.016913018177369957,0.0078125
1925,1,47,free_open,0.00010889537006900096,0.010130428146374586,0.0066161129635907085,0.010970839013647494,0.0400390625
1925,2,71,pre_close,-0.002052320087810979,0.004266952351409028,0.005594140722880478,0.009725149972233244,0.0771484375
1925,3,95,closing,0.007121878207073428,0.004800695987773706,0.006542791112971627,0.011499690762070235,0.1201171875
1925,4,119,hold,0.0012970204035433917,0.014534071079779843,0.005980965359358615,0.010051606138134018,0.025390625
1925,5,143,hold,-0.0003940245695092069,0.011573873820425856,0.007115571307317905,0.012224311978887754,0.15576171875
1925,6,167,release,-0.023483358692685793,0.01683272500517861,0.00812898076434834,0.012878537050624961,0.28173828125
2528,0,23,free_open,-0.002116659224618768,0.015981164779414997,0.007320088605498506,0.012173578642870962,0.0078125
2528,1,47,free_open,0.0006215404633927038,0.00918471700790926,0.007011959992041678,0.01154680961925922,0.076171875
2528,2,71,pre_close,0.0005024488341365575,0.012374964678016506,0.005111374132470022,0.008447672377767055,0.04229736328125
2528,3,95,closing,-0.0004670966812463989,0.015497319932277423,0.00771107280261425,0.012627541799554531,0.1044921875
2528,4,119,hold,-0.0017420292886568545,0.020685932436695902,0.01020417311705363,0.015250618069127626,0.095703125
2528,5,143,hold,0.000883241481977784,0.013561136210294216,0.007815695325246556,0.011856308303002301,0.1298828125
2528,6,167,release,-0.003664870470149382,0.008132326269182668,0.005373595917393292,0.008640597242283062,0.35888671875
3840,0,23,free_open,-0.0040646952051231824,0.0073233570806359215,0.005961682687219392,0.010325686317553135,0.005859375
3840,1,47,free_open,0.002252213867152103,0.006228787707163628,0.006917487267596833,0.011988082423699696,0.0078125
3840,2,71,free_open,-0.003300981051271034,0.016498072961391674,0.007941522622421955,0.012280917065570867,0.0078125
3840,3,95,pre_close,-0.022460423722928377,0.012124703452327376,0.008670068513369883,0.011718132578832769,0.0078125
3840,4,119,closing,0.0020944486925154326,0.007680164649496733,0.005886969634203726,0.009642894807263823,0.01171875
3840,5,143,hold,0.003513950059733876,0.02458798699960733,0.0105481582215262,0.015784040374998105,0.0146484375
3840,6,167,release,0.0006057565834270418,0.013410539172799996,0.008333109851971703,0.012841949453729119,0.1669921875
7814,0,23,free_open,0.0006658989438553566,0.01794399546346023,0.006806713455230182,0.01146455511613893,0.0078125
7814,1,47,free_open,0.002587772954272918,0.008886226039973893,0.004918555770928183,0.008304715569452644,0.01171875
7814,2,71,pre_close,0.0036940707415653445,0.00920694289440694,0.005492237487964204,0.009587058876490763,0.017578125
7814,3,95,closing,-0.0018628573312892078,0.007355315042331885,0.006613024716674589,0.011360768385163143,0.142578125
7814,4,119,hold,-2.478742362670497e-05,0.012791948840808047,0.006208649868305268,0.010948009802491514,0.04296875
7814,5,143,release,0.0032770654426798607,0.012267702162414476,0.005730412080892731,0.009366626879412596,0.025390625
7814,6,167,free_open,0.0009574232914429798,0.016521120018965288,0.0070409195353887555,0.012194006122691458,0.01171875
14688,0,23,free_open,-0.00047396917119062534,0.015922671998903733,0.0065722724749055555,0.011037616878299334,0.01171875
14688,1,47,free_open,-0.0014175634303089275,0.008552342857610818,0.005624242722941631,0.009432856602695933,0.0078125
14688,2,71,pre_close,-0.0006129798660932384,0.00643417795760844,0.00566222647873431,0.009819076747839871,0.009765625
14688,3,95,closing,0.0007892147261807283,0.005907179433464779,0.0060564349979697184,0.010646902746360355,0.0947265625
14688,4,119,hold,0.002445379314150776,0.008355694279081683,0.005181414254806948,0.008700312545449894,0.046875
14688,5,143,hold,0.00021788370862105624,0.004432277981246988,0.005120531686977233,0.00905914641754014,0.044921875
14688,6,167,release,-0.0013088390403985135,0.0032651251377397938,0.005116970749782734,0.009185143690212528,0.291748046875
16001,0,23,free_open,-0.00190359141647016,0.020568536588296688,0.006235689450936187,0.00956281713706043,0.005859375
16001,1,47,pre_close,-0.0012912151734268892,0.012117749301723435,0.006196642398757726,0.009377504287602178,0.0078125
16001,2,71,closing,-0.0007882069687451792,0.004378162348794168,0.005399975540058795,0.009543224567536195,0.083984375
16001,3,95,hold,0.0009653961416786691,0.013287323962422977,0.006235435370330105,0.010588609255379635,0.00732421875
16001,4,119,hold,-0.004452910754390953,0.015543607089861694,0.009030481394345669,0.013487609937273258,0.1259765625
16001,5,143,hold,-0.001683486700109942,0.0078119819486435925,0.006969074357654981,0.011585029508738999,0.0146484375
