calls,feature,spearman,p_value
2,k2_joint_abs_step_d1,0.2722081603725828,0.012247159618956801
2,k2_joint_abs_step_d3,0.1963754176369343,0.07340278242297371
2,k2_gripper_tv,-0.19197472785985542,0.08021755812345141
2,k2_trans_delta_gripper_step_max,-0.19014307691625237,0.08319868939915895
2,k2_trans_delta_gripper_range,-0.18342038896406967,0.09490198997613675
2,k2_joint_jerk_max,0.18212007694644122,0.09730833195596941
2,k2_gripper_step_max,-0.1820718300445484,0.09739852974434535
2,k2_trans_delta_gripper_endpoint,-0.17816962442098958,0.10491343866245159
2,k2_joint_abs_step_d6,-0.16608281866963653,0.13107572257554836
2,k2_trans_delta_gripper_high_fraction,0.1633206386516699,0.13769850330162
2,k2_trans_delta_gripper_tv,-0.15616588340655616,0.15602803889203273
2,k2_trans_delta_joint_abs_step_d4,-0.1531833664237759,0.16418369709697955
2,k2_gripper_range,-0.14717962289963665,0.18154931194293167
2,k2_joint_direction_change,-0.14453781512605043,0.1896005519529856
2,k2_trans_delta_joint_abs_step_d5,-0.13973875801247548,0.20488108824520446
2,k2_joint_abs_step_d4,-0.13803786574870913,0.2105022597877253
2,k2_joint_accel_max,0.129776247848537,0.239363104195078
2,k2_trans_delta_gripper_start,0.12192344243889272,0.2692328396222177
2,k2_joint_abs_step_d5,-0.12127164118659513,0.27182022964587194
2,k2_joint_endpoint,0.10738078363875671,0.330936463944811
2,k2_trans_endpoint_direction_change,-0.10542763066417936,0.3398583356142578
2,k2_gripper_endpoint,-0.10310103112736833,0.3506816423924882
2,k2_joint_roughness,-0.0998481320238939,0.3661692559470229
2,k2_joint_path,0.09804596537410146,0.3749271570113185
2,k2_joint_step_mean,0.09804596537410146,0.3749271570113185
2,k2_trans_gripper_boundary,-0.09284319763616497,0.40091497652061014
2,k2_trans_delta_joint_abs_step_d6,-0.08431777039847234,0.44572273118925854
2,k2_trans_delta_joint_accel_mean,-0.0813368391217587,0.46202625805299946
2,k2_joint_abs_step_d0,0.07783740002024907,0.4815754001421303
2,k2_trans_delta_joint_jerk_max,0.07460439569407884,0.5000214391581398
2,k2_prefix_gripper_delta_max,-0.07345977372350196,0.5066392096467898
2,k2_trans_delta_joint_jerk_mean,-0.07008230266886013,0.526426666062364
2,k2_trans_delta_gripper_mean,0.06981868289608953,0.5279872634449997
2,k2_prefix_gripper_delta_mean,-0.06899030553757918,0.5329061723514119
2,k2_trans_joint_boundary,-0.0673447127208578,0.5427447280586389
2,k2_trans_delta_joint_path,-0.06675663784313877,0.5462820878909846
2,k2_trans_delta_joint_step_mean,-0.06675663784313877,0.5462820878909846
2,k2_trans_delta_joint_endpoint,-0.06651329651442744,0.5477490959965479
2,k2_trans_delta_joint_direction_change,-0.064647679660974,0.5590592462185311
2,k2_trans_delta_gripper_end,0.05923408607157629,0.5924942045136481
