tolerance,stage,mean_calls,median_calls
0.0,free_open,2.8181818181818183,1.0
0.0,pre_close,5.0,1.0
0.0,closing,1.5,1.0
0.0,hold,2.423076923076923,1.0
0.0,release,3.5833333333333335,1.0
0.002,free_open,1.3636363636363635,1.0
0.002,pre_close,2.8333333333333335,1.0
0.002,closing,1.25,1.0
0.002,hold,1.6153846153846154,1.0
0.002,release,2.0833333333333335,1.0
0.005,free_open,1.0454545454545454,1.0
0.005,pre_close,2.0833333333333335,1.0
0.005,closing,1.0,1.0
0.005,hold,1.0,1.0
0.005,release,1.6666666666666667,1.0
