calls,metric,mean,ci95_low,ci95_high,median
1,joint_h8,0.018175457428333503,0.015522623442293805,0.02157899954744514,0.014715863725920209
1,joint_h24,0.028424479515746507,0.023253911627380306,0.034853066565914956,0.024283599315567415
1,gripper_h8,0.11600899741045266,0.08704353779848177,0.1465414256422047,0.09949442744255066
1,gripper_h24,0.1305239149847434,0.10599722821803763,0.15693721168556496,0.1331130999412077
2,joint_h8,0.018166576821849845,0.01554068506915137,0.021456900361259017,0.014769923519501082
2,joint_h24,0.029081303083103787,0.023853373931140787,0.0356567681306376,0.024687831549423667
2,gripper_h8,0.11494389806466643,0.08726580696072364,0.14174961248427279,0.09403689950704575
2,gripper_h24,0.1253132971134388,0.10372213901771916,0.14750106611347347,0.1293533705174923
3,joint_h8,0.0188011024485408,0.01608007137689661,0.022109958055878114,0.016263227309543635
3,joint_h24,0.03034213098322242,0.025112682665483412,0.036630336045329705,0.02574004644047284
3,gripper_h8,0.11544465176398044,0.08756213421403941,0.1430621245629265,0.09133851528167725
3,gripper_h24,0.12268527729472789,0.10167213522375003,0.1447434798916191,0.1216340238849322
4,joint_h8,0.01946091223104128,0.016520156354956177,0.02323428668798711,0.017191373841916262
4,joint_h24,0.03136663715765137,0.026097851984639552,0.03814478486183096,0.02707713245739633
4,gripper_h8,0.11872644962291122,0.09030156903853431,0.14673014659331654,0.09730329364538193
4,gripper_h24,0.12377033416446971,0.10070796008456254,0.14618239170238032,0.11699003974596658
5,joint_h8,0.020036139811841953,0.017383919123183114,0.02388093484699086,0.01767118781894622
5,joint_h24,0.032429184344520266,0.02735363868847681,0.03931224323981638,0.028138436878170456
5,gripper_h8,0.12169410226592196,0.09262173322841546,0.15072273990585275,0.10393953323364258
5,gripper_h24,0.1267670768491891,0.10182434321735825,0.1510736385057455,0.12345904360214868
6,joint_h8,0.02058122716892667,0.017715790090643484,0.0242065099211423,0.018512263227459674
6,joint_h24,0.033499922202737314,0.028079261299174204,0.04027080626615589,0.02952217499022272
6,gripper_h8,0.12118606793020653,0.09412897180125238,0.14882081516784854,0.10284586623311043
6,gripper_h24,0.13023567054996318,0.10480165201651476,0.1546029379749078,0.1261445904771487
7,joint_h8,0.02080077836120782,0.017959644099964728,0.02448597793017954,0.01976946568590992
7,joint_h24,0.03387775455938193,0.028217220431066076,0.040717981240832764,0.029610904110479837
7,gripper_h8,0.11738832109022906,0.08744192286158935,0.14515135934993198,0.09216874837875366
7,gripper_h24,0.12917031507568605,0.10339856530627581,0.1537774955122615,0.12148496508598328
8,joint_h8,0.02118571113927289,0.018209575101728524,0.024893392982865834,0.019860019621148528
8,joint_h24,0.03439039074936672,0.028843264646700013,0.04109650521016348,0.029678062612962918
8,gripper_h8,0.11475578722491349,0.08620514972966964,0.14138740154000212,0.09143632650375366
8,gripper_h24,0.12823438269085258,0.10335680038103982,0.15263398225739538,0.11754311124483743
9,joint_h8,0.021332614751698842,0.018465086414276636,0.025401219034546164,0.019966829539665318
9,joint_h24,0.03468701003612271,0.0293332801469463,0.04208460845500506,0.029559039551474958
9,gripper_h8,0.11333148580923165,0.08583196643642926,0.14069909936862085,0.08796138502657413
9,gripper_h24,0.1281729202792843,0.10229166227692034,0.15518417924482086,0.11542833844820659
10,joint_h8,0.021481980884902333,0.0183789931960236,0.025566688611731118,0.01990959675122897
10,joint_h24,0.03485316312946258,0.0292465036618297,0.04207034648783438,0.029833045238786653
10,gripper_h8,0.11194024155528971,0.0827699753027056,0.13912867857008152,0.08743852376937866
10,gripper_h24,0.12726684920060163,0.10214438939111127,0.1535002829488399,0.11313443382581076
11,joint_h8,0.021565592361179012,0.018517659681330928,0.025901608280270053,0.01962605613583105
11,joint_h24,0.035134241569917256,0.02963005152160934,0.04275683506300506,0.030055138990823627
11,gripper_h8,0.11061517318081487,0.08203665970113001,0.13732969833801603,0.08609575033187866
11,gripper_h24,0.12654201982571514,0.10205879551576509,0.15171821451958314,0.11081509788831075
12,joint_h8,0.021691004409680987,0.018649970333669278,0.025861258926916705,0.019540948308159476
12,joint_h24,0.03515703310159193,0.029677299272440543,0.04270951865750044,0.029762388358852775
12,gripper_h8,0.10758355943211688,0.08016721944681887,0.13339869850010258,0.08428217098116875
12,gripper_h24,0.12443378976234863,0.09951938544825044,0.1477228464094878,0.10555081566174826
