calls,stage,samples,mean_benefit,ci95_low,ci95_high,positive_fraction,gt_0.002_fraction
2,free_open,22,-0.0018532296670747902,-0.003264872201716032,-0.0002888623340459622,0.2727272727272727,0.09090909090909091
2,pre_close,12,-0.0028643292043747013,-0.009488299833263252,0.0023790651869167005,0.3333333333333333,0.3333333333333333
2,closing,12,-0.003401986877514012,-0.006039769490825167,-0.001146974431253,0.16666666666666666,0.08333333333333333
2,hold,26,-0.004200399489624552,-0.005812830512323434,-0.0027680498326852257,0.2692307692307692,0.11538461538461539
2,release,12,-0.005727574386251297,-0.012069482343523116,-0.000542055952833763,0.25,0.08333333333333333
4,free_open,22,-0.001111213648664288,-0.002727241365581957,0.00041899808823899685,0.3181818181818182,0.18181818181818182
4,pre_close,12,-0.0016218760819793404,-0.007586985382163865,0.0029307613902455985,0.6666666666666666,0.3333333333333333
4,closing,12,-0.0029231966032815496,-0.004912425572871563,-0.0012876367711589485,0.08333333333333333,0.0
4,hold,26,-0.002652133968858826,-0.0038007148602601563,-0.0017453095135962343,0.15384615384615385,0.07692307692307693
4,release,12,-0.004016114705409013,-0.009100719794936736,-0.00010410120517492344,0.25,0.08333333333333333
8,free_open,22,-0.001029675931378251,-0.0016989200510427916,-0.0003934660169788397,0.36363636363636365,0.045454545454545456
8,pre_close,12,3.315102221157163e-05,-0.0015402731932372233,0.0014959570141158502,0.6666666666666666,0.25
8,closing,12,-0.0010129133239987012,-0.0018076323122112102,-0.0002919457535427032,0.08333333333333333,0.0
8,hold,26,-0.0005837049803001651,-0.0014835336083899283,0.0003867471220458957,0.34615384615384615,0.15384615384615385
8,release,12,-0.0004175865340755034,-0.0020032556173686903,0.001256590565425237,0.4166666666666667,0.16666666666666666
