calls,feature,target,spearman,p_value
8,k8_dit_flow_delta_joint7_rms,k8_prefix_joint_delta_mean,0.9854611724207756,6.697892947079586e-65
4,k4_dit_flow_delta_joint7_rms,k4_prefix_joint_delta_mean,0.9843677229928115,1.2817597606222681e-63
2,k2_dit_flow_delta_joint7_rms,k2_prefix_joint_delta_mean,0.9805406499949378,9.428273823581656e-60
2,k2_dit_flow_joint7_rms,k2_pred_motion_h8,0.9057001113698492,2.647246675178512e-32
4,k4_dit_flow_joint7_rms,k4_pred_motion_h8,0.8986939354054875,4.330929035045463e-31
1,k1_dit_flow_joint7_rms,k2_pred_motion_h8,0.8858357800951707,4.460029584982219e-29
8,k8_dit_flow_joint7_rms,k8_pred_motion_h8,0.8713374506429078,4.4429623088972716e-27
2,k2_dit_flow_joint7_rms,k4_pred_motion_h8,0.8707704768654451,5.25828477550659e-27
4,k4_dit_flow_joint7_rms,k2_pred_motion_h8,0.8704059937227904,5.8573469807448154e-27
8,k8_dit_flow_joint7_rms,k4_pred_motion_h8,0.8692922952313454,8.12833394935799e-27
16,k16_dit_flow_joint7_rms,k4_pred_motion_h8,0.8588437784752456,1.529797397137782e-25
16,k16_dit_flow_joint7_rms,k8_pred_motion_h8,0.853012048192771,7.118662064140872e-25
1,k1_dit_flow_joint7_rms,k4_pred_motion_h8,0.8368735445985623,3.627554933959292e-23
16,k16_dit_flow_all32_rms,k8_pred_motion_h8,0.8173736964665385,2.4550829109004193e-21
16,k16_dit_flow_all32_rms,k4_pred_motion_h8,0.8113394755492558,8.180468183129994e-21
8,k8_dit_flow_all32_rms,k8_pred_motion_h8,0.7901792042118052,4.0501599000282906e-19
4,k4_dit_flow_joint7_rms,k8_pred_motion_h8,0.7895514832439,4.515966888356186e-19
16,k16_dit_flow_joint7_rms,k2_pred_motion_h8,0.7851169383416017,9.643537582391413e-19
8,k8_dit_flow_all32_mean_abs,k8_pred_motion_h8,0.7827477979143465,1.4358024404051669e-18
16,k16_dit_flow_all32_mean_abs,k4_pred_motion_h8,0.7823428166447302,1.5361269885514687e-18
16,k16_dit_flow_all32_mean_abs,k8_pred_motion_h8,0.7807431406297459,2.0030039095767425e-18
4,k4_dit_flow_all32_rms,k4_pred_motion_h8,0.777462792345854,3.4279715839774187e-18
8,k8_dit_flow_joint7_rms,k2_pred_motion_h8,0.7757416219499849,4.527936641060461e-18
8,k8_dit_flow_delta_action8_rms,k8_prefix_joint_delta_mean,0.7728460058722285,7.191887068394103e-18
8,k8_dit_flow_all32_mean_abs,k4_pred_motion_h8,0.7699706388579528,1.131032365467028e-17
8,k8_dit_flow_all32_rms,k4_pred_motion_h8,0.763632681988458,2.999302976930082e-17
2,k2_dit_flow_joint7_rms,k8_pred_motion_h8,0.762559481623975,3.527216416287103e-17
4,k4_dit_flow_delta_action8_rms,k4_prefix_joint_delta_mean,0.752212210185279,1.613677528875968e-16
4,k4_dit_flow_all32_mean_abs,k4_pred_motion_h8,0.7498633188215045,2.255439910194661e-16
4,k4_dit_flow_all32_rms,k8_pred_motion_h8,0.7438493469677028,5.227875569955252e-16
16,k16_dit_flow_action8_rms,k4_pred_motion_h8,0.7427761466032197,6.059147549361591e-16
16,k16_dit_flow_action8_rms,k8_pred_motion_h8,0.7364381897337249,1.4273351233743006e-15
2,k2_dit_flow_action8_rms,k2_pred_motion_h8,0.7306267085147312,3.0653679445322938e-15
16,k16_dit_flow_all32_rms,k2_pred_motion_h8,0.7294522628328439,3.568848342559083e-15
4,k4_dit_flow_all32_mean_abs,k2_pred_motion_h8,0.7293307684519591,3.625273458742345e-15
2,k2_dit_flow_all32_rms,k2_pred_motion_h8,0.7287637946744963,3.900181921289859e-15
2,k2_dit_flow_all32_rms,k4_pred_motion_h8,0.7241875063278322,6.98912285644044e-15
1,k1_dit_flow_joint7_rms,k8_pred_motion_h8,0.7198339576794573,1.2044110038742627e-14
4,k4_dit_flow_all32_rms,k2_pred_motion_h8,0.7191657385845904,1.3081548598879707e-14
16,k16_dit_flow_all32_mean_abs,k2_pred_motion_h8,0.7189429988863015,1.3446141887509966e-14
2,k2_dit_flow_all32_mean_abs,k2_pred_motion_h8,0.7153386655867165,2.090287278184807e-14
1,k1_dit_flow_all32_rms,k2_pred_motion_h8,0.7123215551280753,3.0084725600932236e-14
1,k1_dit_flow_action8_rms,k2_pred_motion_h8,0.7089399615267794,4.4999404887538264e-14
8,k8_dit_flow_action8_rms,k8_pred_motion_h8,0.7076035233370457,5.267818300967065e-14
4,k4_dit_flow_all32_mean_abs,k8_pred_motion_h8,0.7045256656879619,7.546885273130026e-14
1,k1_dit_flow_all32_rms,k4_pred_motion_h8,0.6999088792143363,1.2831204908062539e-13
8,k8_dit_flow_action8_rms,k4_pred_motion_h8,0.6987141844689684,1.4696161722323806e-13
2,k2_dit_flow_delta_action8_rms,k2_prefix_joint_delta_mean,0.6978434747392933,1.6217214735099542e-13
16,k16_dit_flow_joint7_mean_abs,k4_pred_motion_h8,0.6936519185987648,2.5927988729399595e-13
4,k4_dit_flow_action8_rms,k4_pred_motion_h8,0.6916877594411259,3.2216653898328973e-13
2,k2_dit_flow_action8_rms,k4_pred_motion_h8,0.6845195909689177,7.014997500441341e-13
8,k8_dit_flow_all32_mean_abs,k2_pred_motion_h8,0.6843778475245521,7.122183803051499e-13
1,k1_dit_flow_all32_mean_abs,k2_pred_motion_h8,0.6842563531436671,7.215311414699527e-13
2,k2_dit_flow_all32_mean_abs,k4_pred_motion_h8,0.6836488812392427,7.698814867347274e-13
4,k4_dit_flow_action8_rms,k2_pred_motion_h8,0.6783436266072694,1.3476653108159475e-12
16,k16_dit_flow_joint7_mean_abs,k8_pred_motion_h8,0.6727548850865649,2.4006512035646962e-12
16,k16_dit_flow_action8_rms,k2_pred_motion_h8,0.6710944618811381,2.8430486029947986e-12
8,k8_dit_flow_joint7_mean_abs,k4_pred_motion_h8,0.6706489824845601,2.9744850031896017e-12
8,k8_dit_flow_joint7_mean_abs,k8_pred_motion_h8,0.6649387465829705,5.272884877463996e-12
2,k2_dit_flow_joint7_rms,gt_motion_h8,0.6623468664574265,6.8096908674300844e-12
8,k8_dit_flow_all32_rms,k4_prefix_joint_delta_mean,0.6620836286321758,6.987918111304206e-12
16,k16_dit_flow_joint7_mean_abs,k2_pred_motion_h8,0.659228510681381,9.232738333766457e-12
1,k1_dit_flow_joint7_rms,gt_motion_h8,0.6591070163004961,9.342214603003579e-12
1,k1_dit_flow_action8_rms,k4_pred_motion_h8,0.6521413384630961,1.8200611631898498e-11
1,k1_dit_flow_gripper_max_abs,fine,-0.6512406690034335,1.9814760856581534e-11
2,k2_dit_flow_gripper_max_abs,fine,-0.65006328824243,2.2133158093885635e-11
2,k2_dit_flow_all32_rms,k8_pred_motion_h8,0.6475245519894705,2.805114038199572e-11
2,k2_dit_flow_joint7_mean_abs,k2_pred_motion_h8,0.6435962336741926,4.029917361039956e-11
16,k16_dit_flow_action8_mean_abs,k4_pred_motion_h8,0.643332995848942,4.128182705329598e-11
8,k8_dit_flow_all32_rms,k2_pred_motion_h8,0.6427457730079984,4.35574634562451e-11
1,k1_dit_flow_all32_mean_abs,k4_pred_motion_h8,0.6395464209780298,5.823068029420191e-11
8,k8_dit_flow_delta_joint7_rms,k4_prefix_joint_delta_mean,0.6362863217576188,7.800673974431576e-11
8,k8_dit_flow_action8_rms,k2_pred_motion_h8,0.6338159360129594,9.713112940548877e-11
4,k4_dit_flow_delta_joint7_rms,k8_prefix_joint_delta_mean,0.6333502075529007,1.0120824290826527e-10
4,k4_dit_flow_joint7_mean_abs,k2_pred_motion_h8,0.6323175053153792,1.1084242065779012e-10
8,k8_dit_flow_all32_mean_abs,k4_prefix_joint_delta_mean,0.6273969828895414,1.7016281511240745e-10
4,k4_dit_flow_action8_rms,k8_pred_motion_h8,0.6260605446998077,1.9092481738930768e-10
16,k16_dit_flow_action8_mean_abs,k8_pred_motion_h8,0.6243191252404577,2.2164318208127425e-10
8,k8_dit_flow_joint7_mean_abs,k2_pred_motion_h8,0.6228409436063582,2.513842469373367e-10
1,k1_dit_flow_gripper_rms,fine,-0.6219996266253803,2.699813078415217e-10
4,k4_dit_flow_joint7_mean_abs,k4_pred_motion_h8,0.6185278930849448,3.616315515346634e-10
1,k1_dit_flow_all32_rms,k8_pred_motion_h8,0.6168269717525564,4.167631557030578e-10
1,k1_dit_flow_gripper_mean_abs,fine,-0.6164192675188112,4.31127127541317e-10
2,k2_dit_flow_gripper_rms,fine,-0.6152994511141555,4.730604051058129e-10
1,k1_dit_flow_joint7_mean_abs,k2_pred_motion_h8,0.6128176571833552,5.803550698259558e-10
2,k2_dit_flow_action8_max_abs,fine,-0.6103404114517373,7.104648505897571e-10
2,k2_dit_flow_all32_rms,gt_motion_h8,0.6093348182646553,7.70880480494688e-10
8,k8_dit_flow_delta_joint7_rms,k8_pred_motion_h8,0.6068239343930344,9.439503803252797e-10
1,k1_dit_flow_action8_max_abs,fine,-0.6061427671575246,9.969652233641658e-10
2,k2_dit_flow_all32_mean_abs,gt_motion_h8,0.6049205224258378,1.0993118334893017e-09
2,k2_dit_flow_action8_mean_abs,k2_pred_motion_h8,0.6046572846005872,1.122633517597416e-09
1,k1_dit_flow_all32_max_abs,fine,-0.6045358497750876,1.1335509233541624e-09
16,k16_dit_flow_joint7_rms,gt_motion_h8,0.6030981067125646,1.2707770955503342e-09
8,k8_dit_flow_all32_rms,k8_prefix_joint_delta_mean,0.6026526273159867,1.3164263271355519e-09
2,k2_dit_flow_all32_mean_abs,k8_pred_motion_h8,0.6014984306975802,1.44211011455252e-09
4,k4_dit_flow_delta_joint7_rms,k8_pred_motion_h8,0.5998380074921534,1.6432129804011561e-09
2,k2_dit_flow_gripper_mean_abs,fine,-0.5996657082546306,1.6655531824834098e-09
2,k2_dit_flow_action8_rms,k8_pred_motion_h8,0.5948769869393541,2.4164316034051583e-09
16,k16_dit_flow_all32_rms,k4_prefix_joint_delta_mean,0.592163612432925,2.9756383998323534e-09
16,k16_dit_flow_action8_mean_abs,k2_pred_motion_h8,0.5899159663865546,3.5305119808316256e-09
1,k1_dit_flow_action8_mean_abs,k2_pred_motion_h8,0.5865343727852587,4.555073097821664e-09
8,k8_dit_flow_joint7_rms,k4_prefix_joint_delta_mean,0.5813303634706894,6.7040000929793766e-09
1,k1_dit_flow_all32_rms,gt_motion_h8,0.5806418953123418,7.05210112836639e-09
2,k2_dit_flow_delta_joint7_rms,k4_pred_motion_h8,0.5787384833451453,8.106530659477211e-09
2,k2_dit_flow_joint7_mean_abs,k4_pred_motion_h8,0.5778070264250279,8.67578522241537e-09
8,k8_dit_flow_joint7_rms,k8_prefix_joint_delta_mean,0.5756606256960616,1.0136246556743784e-08
16,k16_dit_flow_all32_rms,gt_motion_h8,0.575073402855118,1.0574951932258436e-08
8,k8_dit_flow_all32_rms,k2_prefix_joint_delta_mean,0.5748709122203098,1.073038437354015e-08
4,k4_dit_flow_all32_rms,k4_prefix_joint_delta_mean,0.572785258681786,1.2463389487916819e-08
4,k4_dit_flow_all32_mean_abs,gt_motion_h8,0.5724612736660929,1.2755454237655884e-08
4,k4_dit_flow_joint7_rms,gt_motion_h8,0.5723195302217272,1.2885273964675881e-08
16,k16_dit_flow_delta_gripper_rms,fine,0.5683982225355811,1.7019089661142574e-08
16,k16_dit_flow_all32_mean_abs,gt_motion_h8,0.5679052343829097,1.7620469551635675e-08
8,k8_dit_flow_action8_mean_abs,k8_pred_motion_h8,0.5677837400020249,1.7771756656942852e-08
8,k8_dit_flow_action8_mean_abs,k4_pred_motion_h8,0.5648476257973069,2.1827536653007987e-08
1,k1_dit_flow_all32_mean_abs,gt_motion_h8,0.5630454591475145,2.4738436762565997e-08
4,k4_dit_flow_action8_mean_abs,k2_pred_motion_h8,0.5621949984813203,2.6237142612151344e-08
4,k4_dit_flow_all32_rms,gt_motion_h8,0.5619520097195505,2.668097709369746e-08
8,k8_dit_flow_all32_mean_abs,k8_prefix_joint_delta_mean,0.5617697681482231,2.7018534593621533e-08
16,k16_dit_flow_joint7_rms,k4_prefix_joint_delta_mean,0.5616482737673383,2.724582770554434e-08
