source,feature_group,episodes,events,top_k_hits_at_5,mean_event_score_percentile_at_5,top_k_chunk_edge_count_at_2,top_k_selected,top_k_hit_rate_at_5,random_hit_rate_at_5,top_k_chunk_edge_fraction_at_2
gt,gripper_only,3,20,8,0.7138392857142857,5,19,0.4,0.31054,0.2631578947368421
gt,joint_gripper,3,20,8,0.7375566893424036,4,20,0.4,0.3109,0.2
gt,joint_d1,3,20,7,0.6784863945578231,3,20,0.35,0.31166,0.15
gt,joint_dynamics,3,20,7,0.6649305555555555,4,20,0.35,0.31035999999999997,0.2
gt,joint_position,3,20,6,0.6881944444444444,3,16,0.3,0.3101999999999999,0.1875
gt,joint_scalar,3,20,5,0.6872236394557824,4,20,0.25,0.30906,0.2
wam,gripper_only,3,20,6,0.7737386621315192,7,20,0.3,0.31192999999999993,0.35
wam,joint_gripper,3,20,6,0.7196286848072563,6,20,0.3,0.31390999999999997,0.3
wam,joint_scalar,3,20,6,0.7403982426303856,5,20,0.3,0.31293,0.25
wam,joint_d1,3,20,5,0.6854237528344672,8,20,0.25,0.31057999999999997,0.4
wam,joint_position,3,20,5,0.6593820861678005,15,20,0.25,0.31118999999999997,0.75
wam,joint_dynamics,3,20,4,0.7249716553287983,6,20,0.2,0.31077,0.3
