episode,source,feature_group,event,event_frame,best_frame_within_5,best_score_within_5,score_percentile
1925,gt,joint_position,approach_onset,48,43,0.6380915289843495,0.7678571428571429
1925,gt,joint_position,contact_onset,82,87,0.2922352648783867,0.48214285714285715
1925,gt,joint_position,object_motion_onset,88,88,0.3008297272466648,0.49404761904761907
1925,gt,joint_position,grasp_lift_onset,112,117,0.19130577670170124,0.34523809523809523
1925,gt,joint_position,transport_onset,130,135,1.210263691722263,1.0
1925,gt,joint_position,placement_contact,180,184,0.7859290082995143,0.8511904761904762
1925,gt,joint_position,release_onset,184,184,0.7859290082995143,0.8511904761904762
1925,gt,joint_position,retreat_onset,190,185,0.7609962176886598,0.8392857142857143
1925,gt,joint_d1,approach_onset,48,43,0.9251303667834968,0.5059523809523809
1925,gt,joint_d1,contact_onset,82,87,0.7689060215516801,0.43452380952380953
1925,gt,joint_d1,object_motion_onset,88,93,1.4653240231178566,0.6785714285714286
1925,gt,joint_d1,grasp_lift_onset,112,117,0.867687120365693,0.4880952380952381
1925,gt,joint_d1,transport_onset,130,134,4.424181651677099,1.0
1925,gt,joint_d1,placement_contact,180,184,4.34082573213358,0.9940476190476191
1925,gt,joint_d1,release_onset,184,184,4.34082573213358,0.9940476190476191
1925,gt,joint_d1,retreat_onset,190,185,3.6957956526461566,0.9761904761904762
1925,gt,joint_scalar,approach_onset,48,46,0.810725683827469,0.5416666666666666
1925,gt,joint_scalar,contact_onset,82,85,0.6797126950715209,0.4166666666666667
1925,gt,joint_scalar,object_motion_onset,88,85,0.6797126950715209,0.4166666666666667
1925,gt,joint_scalar,grasp_lift_onset,112,114,2.2028548258278846,0.8928571428571429
1925,gt,joint_scalar,transport_onset,130,135,2.259988546740892,0.8988095238095238
1925,gt,joint_scalar,placement_contact,180,184,3.3273391249217372,0.9880952380952381
1925,gt,joint_scalar,release_onset,184,184,3.3273391249217372,0.9880952380952381
1925,gt,joint_scalar,retreat_onset,190,185,2.723163046319712,0.9464285714285714
1925,gt,joint_dynamics,approach_onset,48,43,1.2527524346684038,0.6071428571428571
1925,gt,joint_dynamics,contact_onset,82,87,0.7556754792091935,0.2976190476190476
1925,gt,joint_dynamics,object_motion_onset,88,93,1.1312668375686714,0.5119047619047619
1925,gt,joint_dynamics,grasp_lift_onset,112,115,1.2285542156252796,0.5773809523809523
1925,gt,joint_dynamics,transport_onset,130,133,4.1098788346012745,1.0
1925,gt,joint_dynamics,placement_contact,180,184,4.1006010509848725,0.9940476190476191
1925,gt,joint_dynamics,release_onset,184,184,4.1006010509848725,0.9940476190476191
1925,gt,joint_dynamics,retreat_onset,190,185,3.0724026649715483,0.9285714285714286
1925,gt,gripper_only,approach_onset,48,53,0.02426065473285702,0.3392857142857143
1925,gt,gripper_only,contact_onset,82,83,12.601008757057002,1.0
1925,gt,gripper_only,object_motion_onset,88,83,12.601008757057002,1.0
1925,gt,gripper_only,grasp_lift_onset,112,115,8.721676164815356,0.9464285714285714
1925,gt,gripper_only,transport_onset,130,135,3.0689166421630496,0.7202380952380952
1925,gt,gripper_only,placement_contact,180,178,7.4954124321392195,0.9226190476190477
1925,gt,gripper_only,release_onset,184,179,6.42644696409695,0.8809523809523809
1925,gt,gripper_only,retreat_onset,190,185,0.26115801303366504,0.44642857142857145
1925,gt,joint_gripper,approach_onset,48,43,1.1711387323480698,0.3630952380952381
1925,gt,joint_gripper,contact_onset,82,83,4.19370937465961,1.0
1925,gt,joint_gripper,object_motion_onset,88,83,4.19370937465961,1.0
1925,gt,joint_gripper,grasp_lift_onset,112,115,3.107048733364397,0.8809523809523809
1925,gt,joint_gripper,transport_onset,130,133,3.907926642662331,0.9880952380952381
1925,gt,joint_gripper,placement_contact,180,184,3.8405681456192475,0.9523809523809523
1925,gt,joint_gripper,release_onset,184,184,3.8405681456192475,0.9523809523809523
1925,gt,joint_gripper,retreat_onset,190,185,2.87556628932332,0.8392857142857143
1925,wam,joint_position,approach_onset,48,47,4.21419853625465,1.0
1925,wam,joint_position,contact_onset,82,77,0.15643546572769984,0.19047619047619047
1925,wam,joint_position,object_motion_onset,88,93,0.719679873822409,0.6130952380952381
1925,wam,joint_position,grasp_lift_onset,112,117,0.4212924817155781,0.375
1925,wam,joint_position,transport_onset,130,135,0.8375032334600732,0.7261904761904762
1925,wam,joint_position,placement_contact,180,175,1.159392326883102,0.8690476190476191
1925,wam,joint_position,release_onset,184,179,0.9256293114666556,0.7857142857142857
1925,wam,joint_position,retreat_onset,190,185,0.5280758743852698,0.5119047619047619
1925,wam,joint_d1,approach_onset,48,43,1.6435554073201117,0.8095238095238095
1925,wam,joint_d1,contact_onset,82,77,0.4745009336483105,0.21428571428571427
1925,wam,joint_d1,object_motion_onset,88,93,0.8580463770502715,0.5119047619047619
1925,wam,joint_d1,grasp_lift_onset,112,117,0.7633186262292717,0.4107142857142857
