source,feature_group,scope,steps,accuracy,balanced_accuracy,macro_f1_global_labels
gt,joint_position,episode_001925,83,0.2289156626506024,0.30357142857142855,0.155921568627451
gt,joint_position,episode_016001,86,0.2441860465116279,0.10096153846153846,0.09882352941176471
gt,joint_position,episode_050458,91,0.43956043956043955,0.3858108108108108,0.2918523843757489
gt,joint_position,all_oof,260,0.3076923076923077,0.22222222222222224,0.21882738583670927
gt,joint_d1,episode_001925,83,0.10843373493975904,0.10669642857142857,0.1037037037037037
gt,joint_d1,episode_016001,86,0.27906976744186046,0.24358974358974358,0.19047619047619047
gt,joint_d1,episode_050458,91,0.16483516483516483,0.09037162162162163,0.12584795321637426
gt,joint_d1,all_oof,260,0.18461538461538463,0.12524661246612467,0.14298459154529242
gt,joint_scalar,episode_001925,83,0.03614457831325301,0.038392857142857145,0.036281859070464766
gt,joint_scalar,episode_016001,86,0.10465116279069768,0.04326923076923077,0.05714285714285714
gt,joint_scalar,episode_050458,91,0.1978021978021978,0.24050061425061423,0.14610323886639676
gt,joint_scalar,all_oof,260,0.11538461538461539,0.09889159891598916,0.10196901350263857
gt,joint_dynamics,episode_001925,83,0.04819277108433735,0.054017857142857145,0.05085714285714286
gt,joint_dynamics,episode_016001,86,0.20930232558139536,0.08653846153846154,0.08275862068965517
gt,joint_dynamics,episode_050458,91,0.18681318681318682,0.14496621621621625,0.15942857142857142
gt,joint_dynamics,all_oof,260,0.15,0.09511111111111112,0.1045373760291514
gt,gripper_only,episode_001925,83,0.6626506024096386,0.5833333333333334,0.3922483513748911
gt,gripper_only,episode_016001,86,0.6046511627906976,0.47115384615384615,0.24631217838765007
gt,gripper_only,episode_050458,91,0.6263736263736264,0.4701013513513514,0.4605208998651621
gt,gripper_only,all_oof,260,0.6307692307692307,0.5342682926829269,0.4687520479495741
gt,joint_gripper,episode_001925,83,0.46987951807228917,0.4236607142857143,0.31227708179808406
gt,joint_gripper,episode_016001,86,0.45348837209302323,0.4751602564102564,0.31975095271983417
gt,joint_gripper,episode_050458,91,0.6153846153846154,0.5186425061425062,0.5688352797119725
gt,joint_gripper,all_oof,260,0.5153846153846153,0.45740204049099314,0.4488070837669554
gt,joint_window9,episode_001925,83,0.1927710843373494,0.21607142857142858,0.10576923076923077
gt,joint_window9,episode_016001,86,0.08139534883720931,0.10737179487179487,0.06761363636363636
gt,joint_window9,episode_050458,91,0.26373626373626374,0.24389434889434888,0.18817893217893217
gt,joint_window9,all_oof,260,0.18076923076923077,0.13436856368563685,0.13459620642333595
gt,joint_gripper_window9,episode_001925,83,0.3855421686746988,0.37777777777777777,0.22540755765907897
gt,joint_gripper_window9,episode_016001,86,0.4418604651162791,0.6025641025641026,0.3883460764587525
gt,joint_gripper_window9,episode_050458,91,0.7362637362637363,0.6509459459459459,0.5704478438885132
gt,joint_gripper_window9,all_oof,260,0.5269230769230769,0.48223226526382906,0.47732194905193276
gt,time_only,episode_001925,83,0.8192771084337349,0.8928571428571428,0.7454545454545455
gt,time_only,episode_016001,86,0.7325581395348837,0.8409455128205128,0.7105241949161166
gt,time_only,episode_050458,91,0.6923076923076923,0.8376689189189189,0.6515334947538337
gt,time_only,all_oof,260,0.7461538461538462,0.8124945002391201,0.751828113274051
gt,time_gripper,episode_001925,83,0.8433734939759037,0.7986111111111112,0.626254661042851
gt,time_gripper,episode_016001,86,0.5930232558139535,0.53125,0.375776397515528
gt,time_gripper,episode_050458,91,0.7802197802197802,0.7496621621621622,0.5982966051220965
gt,time_gripper,all_oof,260,0.7384615384615385,0.6918353260003187,0.6793243201401885
wam,joint_position,episode_001925,83,0.5060240963855421,0.43214285714285716,0.2787938498283326
wam,joint_position,episode_016001,86,0.3372093023255814,0.13942307692307693,0.11717171717171718
wam,joint_position,episode_050458,91,0.43956043956043955,0.3875,0.2785829307568438
wam,joint_position,all_oof,260,0.4269230769230769,0.3430271002710027,0.3543169949166525
wam,joint_d1,episode_001925,83,0.37349397590361444,0.3856646825396825,0.2673370202781967
wam,joint_d1,episode_016001,86,0.3372093023255814,0.43269230769230765,0.3333011583011583
wam,joint_d1,episode_050458,91,0.25274725274725274,0.27610257985257985,0.21153622133236255
wam,joint_d1,all_oof,260,0.3192307692307692,0.37309245974812694,0.3114315073985209
wam,joint_scalar,episode_001925,83,0.1927710843373494,0.22767857142857145,0.17929729729729732
wam,joint_scalar,episode_016001,86,0.1511627906976744,0.2315705128205128,0.13560978066530685
wam,joint_scalar,episode_050458,91,0.24175824175824176,0.32797911547911546,0.14296277928638962
wam,joint_scalar,all_oof,260,0.19615384615384615,0.21272772198310222,0.18012225274725274
wam,joint_dynamics,episode_001925,83,0.30120481927710846,0.27341269841269844,0.2048935813641696
wam,joint_dynamics,episode_016001,86,0.23255813953488372,0.3389423076923077,0.21205101205101204
wam,joint_dynamics,episode_050458,91,0.23076923076923078,0.44444717444717446,0.20040603180191283
wam,joint_dynamics,all_oof,260,0.25384615384615383,0.24304208512673364,0.2340260236939887
wam,gripper_only,episode_001925,83,0.7108433734939759,0.6778273809523809,0.5581882277534451
wam,gripper_only,episode_016001,86,0.5348837209302325,0.4423076923076923,0.2432510885341074
wam,gripper_only,episode_050458,91,0.7692307692307693,0.6630681818181818,0.6801493930905695
wam,gripper_only,all_oof,260,0.6730769230769231,0.6054281842818429,0.5770204771964008
wam,joint_gripper,episode_001925,83,0.4457831325301205,0.39285714285714285,0.29393939393939394
wam,joint_gripper,episode_016001,86,0.36046511627906974,0.4182692307692308,0.27359307359307355
wam,joint_gripper,episode_050458,91,0.31868131868131866,0.49106879606879617,0.2754364075370556
wam,joint_gripper,all_oof,260,0.3730769230769231,0.31709261916148573,0.3128013374537081
wam,joint_window9,episode_001925,83,0.14457831325301204,0.16205357142857144,0.09473684210526315
wam,joint_window9,episode_016001,86,0.2441860465116279,0.3221153846153846,0.1810810810810811
wam,joint_window9,episode_050458,91,0.16483516483516483,0.1525644963144963,0.12037706205813041
wam,joint_window9,all_oof,260,0.18461538461538463,0.14150135501355016,0.15506067291781578
wam,joint_gripper_window9,episode_001925,83,0.14457831325301204,0.16205357142857144,0.08696356275303643
wam,joint_gripper_window9,episode_016001,86,0.27906976744186046,0.33653846153846156,0.19230769230769232
wam,joint_gripper_window9,episode_050458,91,0.2967032967032967,0.21996314496314495,0.23095238095238096
wam,joint_gripper_window9,all_oof,260,0.2423076923076923,0.17850135501355016,0.19630495907507342
wam,time_only,episode_001925,83,0.8192771084337349,0.8928571428571428,0.7454545454545455
wam,time_only,episode_016001,86,0.7325581395348837,0.8409455128205128,0.7105241949161166
wam,time_only,episode_050458,91,0.6923076923076923,0.8376689189189189,0.6515334947538337
wam,time_only,all_oof,260,0.7461538461538462,0.8124945002391201,0.751828113274051
wam,time_gripper,episode_001925,83,0.7951807228915663,0.7752480158730158,0.6321979121979122
wam,time_gripper,episode_016001,86,0.4883720930232558,0.4230769230769231,0.26363636363636367
wam,time_gripper,episode_050458,91,0.8021978021978022,0.69375,0.6535013594579431
wam,time_gripper,all_oof,260,0.6961538461538461,0.6268401084010841,0.5843182305547897
