source,train_cycle,test_cycle,group,train_n,test_n,auroc,balanced_accuracy,macro_f1,predicted_fine_rate
gt,1,2,joint_step_only,87,57,0.24324324324324326,0.27905405405405403,0.22208436724565758,0.7368421052631579
gt,1,2,joint_only,87,57,0.3094594594594594,0.44662162162162167,0.3829260748530776,0.7192982456140351
gt,1,2,gripper_only,87,57,0.15540540540540543,0.275,0.16176470588235295,0.8421052631578947
gt,1,2,joint_gripper,87,57,0.12027027027027025,0.2885135135135135,0.1854557002222928,0.8245614035087719
gt,1,2,time_only,87,57,1.0,0.5,0.2597402597402597,1.0
gt,2,1,joint_step_only,57,87,0.46111111111111114,0.5383333333333333,0.5318003913894325,0.8160919540229885
gt,2,1,joint_only,57,87,0.4811111111111111,0.5866666666666667,0.5743639921722113,0.8160919540229885
gt,2,1,gripper_only,57,87,0.05333333333333334,0.32666666666666666,0.3602941176470588,0.7011494252873564
gt,2,1,joint_gripper,57,87,0.11222222222222222,0.34,0.3695652173913043,0.7241379310344828
gt,2,1,time_only,57,87,1.0,0.5,0.12121212121212122,0.0
wam,1,2,joint_step_only,87,57,0.7162162162162162,0.6662162162162162,0.5959938366718027,0.6842105263157895
wam,1,2,joint_only,87,57,0.7081081081081081,0.6412162162162163,0.5788177339901477,0.6666666666666666
wam,1,2,gripper_only,87,57,0.5858108108108108,0.5,0.2597402597402597,1.0
wam,1,2,joint_gripper,87,57,0.745945945945946,0.5,0.2597402597402597,1.0
wam,1,2,time_only,87,57,1.0,0.5,0.2597402597402597,1.0
wam,2,1,joint_step_only,57,87,0.8766666666666667,0.8133333333333334,0.616015132408575,0.5402298850574713
wam,2,1,joint_only,57,87,0.8211111111111111,0.78,0.5695006747638327,0.4827586206896552
wam,2,1,gripper_only,57,87,0.07222222222222222,0.3466666666666667,0.37410071942446044,0.735632183908046
wam,2,1,joint_gripper,57,87,0.10777777777777778,0.35333333333333333,0.37857142857142856,0.7471264367816092
wam,2,1,time_only,57,87,1.0,0.5,0.12121212121212122,0.0
